Date/Time	Electricity:Facility [kW](Hourly)	Fans:Electricity [kW](Hourly)	Cooling:Electricity [kW](Hourly)	Heating:Electricity [kW](Hourly)	InteriorLights:Electricity [kW](Hourly)	InteriorEquipment:Electricity [kW](Hourly)	Gas:Facility [kW](Hourly)	Heating:Gas [kW](Hourly)	Electricity:Facility [kW](Monthly)	Gas:Facility [kW](Monthly)
 01/10  05:00:00	16.66029193	1.244467659	0	0	5.481224596	1.011599678	40.71189279	40.71189279		
 01/10  06:00:00	16.94382881	1.528004534	0	0	5.481224596	1.011599678	50.7070411	50.7070411		
 01/10  07:00:00	18.89466908	3.478844803	0	0	5.481224596	1.011599678	69.94612832	69.94612832		
 01/10  08:00:00	33.43607491	3.478844803	0	0	21.92489839	5.05799839	58.00037624	58.00037624		
 01/10  09:00:00	49.9402144	3.478844803	0	0	38.36857217	8.092797425	41.21265285	41.21265285		
 01/10  10:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	22.80294498	22.80294498		
 01/10  11:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	9.862415151	9.862415151		
 01/10  12:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	5.475157905	5.475157905		
 01/10  13:00:00	55.421439	3.478844803	0	0	43.84979677	8.092797425	4.48419754	4.48419754		
 01/10  14:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	3.017635493	3.017635493		
 01/10  15:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	2.543097223	2.543097223		
 01/10  16:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	2.918789406	2.918789406		
 01/10  17:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	5.525194954	5.525194954		
 01/10  18:00:00	29.4130725	0	0	0	16.44367379	4.046398712	0	0		
 01/10  19:00:00	15.89376102	0.477936744	0	0	5.481224596	1.011599678	16.28923165	16.28923165		
 01/10  20:00:00	15.9742413	0.558417021	0	0	5.481224596	1.011599678	18.63051965	18.63051965		
 01/10  21:00:00	16.37404852	0.95822425	0	0	5.481224596	1.011599678	31.84093208	31.84093208		
 01/10  22:00:00	16.20556845	0.789744176	0	0	5.481224596	1.011599678	26.12765488	26.12765488		
 01/10  23:00:00	16.62203923	1.206214951	0	0	5.481224596	1.011599678	39.93915114	39.93915114		
 01/10  24:00:00	16.37395214	0.958127867	0	0	5.481224596	1.011599678	31.60795431	31.60795431		
 01/11  01:00:00	16.75939959	1.343575312	0	0	5.481224596	1.011599678	44.43075596	44.43075596		
 01/11  02:00:00	16.41711716	1.001292887	0	0	5.481224596	1.011599678	32.98246616	32.98246616		
 01/11  03:00:00	16.80118326	1.385358984	0	0	5.481224596	1.011599678	45.72494914	45.72494914		
 01/11  04:00:00	16.53533551	1.119511233	0	0	5.481224596	1.011599678	36.80113884	36.80113884		
 01/11  05:00:00	16.93581863	1.519994357	0	0	5.481224596	1.011599678	50.13996737	50.13996737		
 01/11  06:00:00	16.54362926	1.127804982	0	0	5.481224596	1.011599678	37.04104843	37.04104843		
 01/11  07:00:00	18.89466908	3.478844803	0	0	5.481224596	1.011599678	71.66552113	71.66552113		
